SQGDP2 Gross domestic product (GDP) by state 1
SQGDP2 Gross domestic product (GDP) by state 1
State or DC
GeoFIPS,GeoName,LineCode,Description,2024:Q1,2024:Q2,2024:Q3,2024:Q4
00000,United States *,1,All industry total,28708161.0,29147044.0,29511664.0,29825182.0
00000,United States *,2,"  Private industries",25477141.0,25871320.0,26193383.0,26464842.0
00000,United States *,3,"      Agriculture, forestry, fishing and hunting",256803.0,261204.0,268639.0,292099.0
00000,United States *,6,"      Mining, quarrying, and oil and gas extraction",406190.0,418263.0,403323.0,389216.0
00000,United States *,10,"      Utilities",452495.0,459787.0,450744.0,454405.0
00000,United States *,11,"      Construction",1287497.0,1299790.0,1312226.0,1322090.0
00000,United States *,12,"      Manufacturing",2851821.0,2884682.0,2897683.0,2888720.0
00000,United States *,13,"          Durable goods manufacturing",1502443.0,1523342.0,1543399.0,1530185.0
00000,United States *,25,"          Nondurable goods manufacturing",1349378.0,1361340.0,1354284.0,1358535.0
00000,United States *,34,"      Wholesale trade",1680967.0,1689844.0,1717453.0,1736889.0
00000,United States *,35,"      Retail trade",1828740.0,1838898.0,1865455.0,1863063.0
00000,United States *,36,"      Transportation and warehousing",965430.0,984638.0,996878.0,1002260.0
00000,United States *,45,"      Information",1553252.0,1580920.0,1610242.0,1626357.0
00000,United States *,51,"      Finance and insurance",2150080.0,2215995.0,2251950.0,2298597.0
00000,United States *,56,"      Real estate and rental and leasing",3974784.0,4032478.0,4078746.0,4123589.0
00000,United States *,60,"      Professional, scientific, and technical services",2298152.0,2337252.0,2377197.0,2407673.0
00000,United States *,64,"      Management of companies and enterprises",521318.0,532803.0,551460.0,571752.0
00000,United States *,65,"      Administrative and support and waste management and remediation services",896857.0,906156.0,915858.0,927937.0
00000,United States *,69,"      Educational services",327540.0,330517.0,337163.0,343921.0
00000,United States *,70,"      Health care and social assistance",2149405.0,2190320.0,2230136.0,2267662.0
00000,United States *,76,"      Arts, entertainment, and recreation",315023.0,325730.0,330855.0,335452.0
00000,United States *,79,"      Accommodation and food services",950970.0,958737.0,962233.0,969484.0
00000,United States *,82,"      Other services (except government and government enterprises)",609815.0,623306.0,635141.0,643676.0
00000,United States *,83,"  Government and government enterprises",3231020.0,3275724.0,3318281.0,3360339.0
00000,United States *,84,"    Federal civilian",627597.0,636797.0,647345.0,655558.0
00000,United States *,85,"    Military",415777.0,420872.0,425979.0,429500.0
00000,United States *,86,"    State and local",2187647.0,2218053.0,2244958.0,2275279.0
00000,United States *,,Addenda:,,,,
00000,United States *,100,"All industry total, overseas activity",157791.0,159249.0,160909.0,162916.0
00000,United States *,101,"Government and government enterprises, overseas activity",157791.0,159249.0,160909.0,162916.0
01000,Alabama,1,All industry total,317518.0,323468.9,328501.2,331892.3
01000,Alabama,2,"  Private industries",269601.8,274613.1,278930.4,282040.3
01000,Alabama,3,"      Agriculture, forestry, fishing and hunting",3334.2,3025.4,4304.2,4779.4
01000,Alabama,6,"      Mining, quarrying, and oil and gas extraction",2570.9,2695.7,2551.1,2522.6
01000,Alabama,10,"      Utilities",8282.3,8485.1,8377.6,8550.9
01000,Alabama,11,"      Construction",15405.3,15877.5,16090.5,16229.7
01000,Alabama,12,"      Manufacturing",48662.7,50244.4,50386.5,50693.0
01000,Alabama,13,"          Durable goods manufacturing",33065.0,34363.8,34653.8,34769.3
01000,Alabama,25,"          Nondurable goods manufacturing",15597.8,15880.7,15732.7,15923.7
01000,Alabama,34,"      Wholesale trade",19009.6,19046.7,19446.2,19645.2
01000,Alabama,35,"      Retail trade",23754.3,23932.0,24350.4,24348.1
01000,Alabama,36,"      Transportation and warehousing",8786.6,9046.0,9147.8,9110.0
01000,Alabama,45,"      Information",6600.3,6758.8,6782.3,6820.3
01000,Alabama,51,"      Finance and insurance",18471.4,19004.0,19446.6,19981.3
01000,Alabama,56,"      Real estate and rental and leasing",39376.4,40025.1,40480.6,40806.7
01000,Alabama,60,"      Professional, scientific, and technical services",20784.5,21287.4,21647.8,21920.3
01000,Alabama,64,"      Management of companies and enterprises",2748.0,2692.7,2824.4,2899.3
01000,Alabama,65,"      Administrative and support and waste management and remediation services",8637.9,8691.2,8652.1,8763.2
01000,Alabama,69,"      Educational services",1520.5,1540.2,1569.7,1570.0
01000,Alabama,70,"      Health care and social assistance",22832.0,23088.4,23335.4,23577.2
01000,Alabama,76,"      Arts, entertainment, and recreation",1344.5,1402.6,1411.5,1454.1
01000,Alabama,79,"      Accommodation and food services",9689.9,9770.9,9885.8,9978.0
01000,Alabama,82,"      Other services (except government and government enterprises)",7790.6,7999.0,8239.8,8391.1
01000,Alabama,83,"  Government and government enterprises",47916.2,48855.8,49570.8,49852.0
01000,Alabama,84,"    Federal civilian",11082.2,11233.9,11410.9,11537.7
01000,Alabama,85,"    Military",6026.6,6051.2,5998.2,6044.3
01000,Alabama,86,"    State and local",30807.3,31570.7,32161.7,32270.0
02000,Alaska,1,All industry total,69700.3,71571.2,72275.5,72721.8
02000,Alaska,2,"  Private industries",56615.2,58624.5,58934.3,59439.6
02000,Alaska,3,"      Agriculture, forestry, fishing and hunting",584.0,536.1,550.0,545.0
02000,Alaska,6,"      Mining, quarrying, and oil and gas extraction",9364.7,10291.8,9791.6,9667.6
02000,Alaska,10,"      Utilities",1209.5,1246.7,1212.0,1208.9
02000,Alaska,11,"      Construction",3636.4,3735.7,3701.3,3848.1
02000,Alaska,12,"      Manufacturing",1642.3,1701.7,1574.4,1676.9
02000,Alaska,13,"          Durable goods manufacturing",337.5,351.5,364.3,377.5
02000,Alaska,25,"          Nondurable goods manufacturing",1304.7,1350.2,1210.1,1299.3
02000,Alaska,34,"      Wholesale trade",1565.1,1554.4,1556.9,1613.3
02000,Alaska,35,"      Retail trade",3536.0,3600.8,3683.2,3677.3
02000,Alaska,36,"      Transportation and warehousing",9829.4,10157.4,10582.4,10589.2
02000,Alaska,45,"      Information",1602.9,1604.2,1618.7,1657.1
02000,Alaska,51,"      Finance and insurance",1361.5,1471.5,1492.0,1511.2
02000,Alaska,56,"      Real estate and rental and leasing",7694.5,7784.1,7886.8,7949.6
02000,Alaska,60,"      Professional, scientific, and technical services",2485.2,2524.5,2579.3,2617.7
02000,Alaska,64,"      Management of companies and enterprises",485.2,509.7,529.9,541.9
02000,Alaska,65,"      Administrative and support and waste management and remediation services",1358.8,1396.8,1425.1,1486.2
02000,Alaska,69,"      Educational services",240.5,236.3,241.9,243.7
02000,Alaska,70,"      Health care and social assistance",5801.1,5914.8,6091.7,6184.4
02000,Alaska,76,"      Arts, entertainment, and recreation",466.2,498.8,511.9,521.2
02000,Alaska,79,"      Accommodation and food services",2468.9,2539.6,2550.8,2538.3
02000,Alaska,82,"      Other services (except government and government enterprises)",1282.9,1319.6,1354.4,1361.9
02000,Alaska,83,"  Government and government enterprises",13085.1,12946.6,13341.2,13282.2
02000,Alaska,84,"    Federal civilian",2825.6,2864.4,2899.1,2932.8
02000,Alaska,85,"    Military",3128.3,3166.1,3173.0,3195.5
02000,Alaska,86,"    State and local",7131.1,6916.1,7269.2,7153.9
04000,Arizona,1,All industry total,555888.3,565969.2,574674.1,583822.5
