time,state_name,state_abbr,units_total_thousand
2024-04,Connecticut,CT,0.557
2024-04,Delaware,DE,0.482
2024-04,District of Columbia,DC,0.241
2024-04,Florida,FL,17.901
2024-04,Georgia,GA,6.935
2024-04,Hawaii,HI,0.268
2024-04,Idaho,ID,1.543
2024-04,Illinois,IL,1.196
2024-04,Indiana,IN,2.414
2024-04,Iowa,IA,0.894
2024-04,Kansas,KS,0.907
2024-04,Kentucky,KY,1.602
2024-04,Louisiana,LA,1.239
2024-04,Maine,ME,0.539
2024-04,Maryland,MD,2.201
2024-04,Massachusetts,MA,0.903
2024-04,Michigan,MI,1.685
2024-04,Minnesota,MN,1.683
2024-04,Mississippi,MS,0.784
2024-04,Missouri,MO,1.228
2024-04,Montana,MT,0.319
2024-04,Nebraska,NE,0.784
2024-04,Nevada,NV,1.568
2024-04,New Hampshire,NH,0.386
2024-04,New Jersey,NJ,3.096
2024-04,New Mexico,NM,0.612
2024-04,New York,NY,4.076
2024-04,North Carolina,NC,8.771
2024-04,North Dakota,ND,0.361
2024-04,Ohio,OH,2.525
2024-04,Oklahoma,OK,1.5
2024-04,Oregon,OR,1.221
2024-04,Pennsylvania,PA,2.127
2024-04,Rhode Island,RI,0.082
2024-04,South Carolina,SC,4.189
2024-04,South Dakota,SD,0.417
2024-04,Tennessee,TN,4.127
2024-04,Texas,TX,21.893
2024-04,Utah,UT,2.309
2024-04,Vermont,VT,0.286
2024-04,Virginia,VA,2.386
2024-04,Washington,WA,2.993
2024-04,West Virginia,WV,0.335
2024-04,Wisconsin,WI,2.132
2024-04,Wyoming,WY,0.186
2024-05,Alabama,AL,2.26
2024-05,Alaska,AK,0.213
2024-05,Arizona,AZ,4.49
2024-05,Arkansas,AR,1.052
2024-05,California,CA,10.442
2024-05,Colorado,CO,2.904
2024-05,Connecticut,CT,0.406
2024-05,Delaware,DE,0.568
2024-05,District of Columbia,DC,0.04
2024-05,Florida,FL,17.11
2024-05,Georgia,GA,5.976
2024-05,Hawaii,HI,0.303
2024-05,Idaho,ID,1.772
