time,index_type,index_flavor,index_nsa,index_sa
1991-01,traditional,purchase-only,100.0,100.0
1991-02,traditional,purchase-only,100.36,100.4
1991-03,traditional,purchase-only,100.67,100.46
1991-04,traditional,purchase-only,100.67,100.3
1991-05,traditional,purchase-only,100.82,100.35
1991-06,traditional,purchase-only,101.35,100.48
1991-07,traditional,purchase-only,101.29,100.5
1991-08,traditional,purchase-only,101.24,100.33
1991-09,traditional,purchase-only,101.34,100.59
1991-10,traditional,purchase-only,101.55,100.87
1991-11,traditional,purchase-only,101.99,101.35
1991-12,traditional,purchase-only,102.15,101.83
1992-01,traditional,purchase-only,102.18,102.2
1992-02,traditional,purchase-only,102.88,102.94
1992-03,traditional,purchase-only,102.99,102.78
1992-04,traditional,purchase-only,102.89,102.51
1992-05,traditional,purchase-only,103.05,102.54
1992-06,traditional,purchase-only,103.38,102.47
1992-07,traditional,purchase-only,103.67,102.83
1992-08,traditional,purchase-only,104.22,103.26
1992-09,traditional,purchase-only,104.44,103.66
1992-10,traditional,purchase-only,104.67,103.97
1992-11,traditional,purchase-only,104.88,104.24
1992-12,traditional,purchase-only,104.46,104.15
1993-01,traditional,purchase-only,104.19,104.22
1993-02,traditional,purchase-only,103.92,104.01
1993-03,traditional,purchase-only,104.51,104.32
1993-04,traditional,purchase-only,105.38,104.97
1993-05,traditional,purchase-only,105.76,105.2
1993-06,traditional,purchase-only,106.54,105.56
1993-07,traditional,purchase-only,106.55,105.62
1993-08,traditional,purchase-only,107.05,106.02
1993-09,traditional,purchase-only,107.22,106.4
1993-10,traditional,purchase-only,107.32,106.61
1993-11,traditional,purchase-only,107.57,106.95
1993-12,traditional,purchase-only,107.74,107.47
1994-01,traditional,purchase-only,107.68,107.74
1994-02,traditional,purchase-only,107.8,107.93
1994-03,traditional,purchase-only,108.5,108.31
1994-04,traditional,purchase-only,109.04,108.6
1994-05,traditional,purchase-only,109.64,108.99
1994-06,traditional,purchase-only,110.24,109.17
1994-07,traditional,purchase-only,110.35,109.3
1994-08,traditional,purchase-only,110.72,109.59
1994-09,traditional,purchase-only,110.49,109.64
1994-10,traditional,purchase-only,110.61,109.9
1994-11,traditional,purchase-only,110.7,110.11
1994-12,traditional,purchase-only,110.36,110.13
1995-01,traditional,purchase-only,110.34,110.44
1995-02,traditional,purchase-only,110.88,111.04
1995-03,traditional,purchase-only,111.08,110.87
1995-04,traditional,purchase-only,111.63,111.16
1995-05,traditional,purchase-only,112.06,111.3
1995-06,traditional,purchase-only,112.83,111.67
1995-07,traditional,purchase-only,113.35,112.18
1995-08,traditional,purchase-only,113.67,112.48
1995-09,traditional,purchase-only,113.58,112.7
1995-10,traditional,purchase-only,113.47,112.78
1995-11,traditional,purchase-only,113.54,113.0
1995-12,traditional,purchase-only,113.65,113.48
1996-01,traditional,purchase-only,113.75,113.89
1996-02,traditional,purchase-only,113.87,114.05
1996-03,traditional,purchase-only,114.71,114.47
1996-04,traditional,purchase-only,115.23,114.71
1996-05,traditional,purchase-only,115.83,114.96
1996-06,traditional,purchase-only,116.35,115.08
1996-07,traditional,purchase-only,116.73,115.47
1996-08,traditional,purchase-only,116.74,115.49
1996-09,traditional,purchase-only,116.68,115.77
1996-10,traditional,purchase-only,116.57,115.88
1996-11,traditional,purchase-only,116.69,116.19
1996-12,traditional,purchase-only,116.71,116.59
1997-01,traditional,purchase-only,116.56,116.72
1997-02,traditional,purchase-only,116.81,117.0
1997-03,traditional,purchase-only,117.71,117.44
1997-04,traditional,purchase-only,118.22,117.67
1997-05,traditional,purchase-only,119.08,118.13
1997-06,traditional,purchase-only,119.53,118.18
1997-07,traditional,purchase-only,119.8,118.48
1997-08,traditional,purchase-only,120.23,118.96
1997-09,traditional,purchase-only,120.03,119.11
1997-10,traditional,purchase-only,120.39,119.7
1997-11,traditional,purchase-only,120.53,120.06
1997-12,traditional,purchase-only,120.57,120.48
1998-01,traditional,purchase-only,120.77,120.93
1998-02,traditional,purchase-only,121.6,121.8
1998-03,traditional,purchase-only,122.47,122.18
1998-04,traditional,purchase-only,123.31,122.72
1998-05,traditional,purchase-only,124.26,123.23
1998-06,traditional,purchase-only,125.45,123.99
1998-07,traditional,purchase-only,125.76,124.35
1998-08,traditional,purchase-only,126.19,124.86
1998-09,traditional,purchase-only,126.66,125.66
1998-10,traditional,purchase-only,126.93,126.19
1998-11,traditional,purchase-only,127.5,127.02
1998-12,traditional,purchase-only,127.67,127.59
1999-01,traditional,purchase-only,128.13,128.29
1999-02,traditional,purchase-only,128.63,128.85
1999-03,traditional,purchase-only,129.7,129.4
1999-04,traditional,purchase-only,130.65,130.02
1999-05,traditional,purchase-only,131.91,130.79
1999-06,traditional,purchase-only,132.95,131.37
1999-07,traditional,purchase-only,133.65,132.12
1999-08,traditional,purchase-only,134.35,132.94
1999-09,traditional,purchase-only,134.43,133.33
1999-10,traditional,purchase-only,134.92,134.1
1999-11,traditional,purchase-only,135.15,134.65
1999-12,traditional,purchase-only,135.4,135.32
2000-01,traditional,purchase-only,136.73,136.9
2000-02,traditional,purchase-only,136.52,136.76
2000-03,traditional,purchase-only,138.07,137.78
2000-04,traditional,purchase-only,139.41,138.74
2000-05,traditional,purchase-only,140.49,139.29
2000-06,traditional,purchase-only,141.95,140.23
2000-07,traditional,purchase-only,142.65,140.98
2000-08,traditional,purchase-only,143.07,141.54
2000-09,traditional,purchase-only,143.64,142.38
2000-10,traditional,purchase-only,144.11,143.18
2000-11,traditional,purchase-only,144.59,144.06
2000-12,traditional,purchase-only,145.02,144.94
2001-01,traditional,purchase-only,145.66,145.86
2001-02,traditional,purchase-only,146.56,146.84
2001-03,traditional,purchase-only,147.89,147.62
2001-04,traditional,purchase-only,149.18,148.48
2001-05,traditional,purchase-only,150.39,149.11
2001-06,traditional,purchase-only,151.68,149.83
2001-07,traditional,purchase-only,152.5,150.67
2001-08,traditional,purchase-only,153.08,151.4
2001-09,traditional,purchase-only,153.63,152.22
2001-10,traditional,purchase-only,154.16,153.11
2001-11,traditional,purchase-only,154.2,153.63
2001-12,traditional,purchase-only,154.68,154.59
2002-01,traditional,purchase-only,155.17,155.44
2002-02,traditional,purchase-only,156.04,156.38
2002-03,traditional,purchase-only,157.58,157.34
2002-04,traditional,purchase-only,158.92,158.19
2002-05,traditional,purchase-only,160.66,159.26
2002-06,traditional,purchase-only,162.23,160.24
2002-07,traditional,purchase-only,163.3,161.28
2002-08,traditional,purchase-only,164.17,162.29
2002-09,traditional,purchase-only,164.87,163.28
2002-10,traditional,purchase-only,165.64,164.47
2002-11,traditional,purchase-only,166.0,165.39
2002-12,traditional,purchase-only,166.67,166.58
2003-01,traditional,purchase-only,167.17,167.57
2003-02,traditional,purchase-only,168.24,168.67
2003-03,traditional,purchase-only,169.44,169.21
2003-04,traditional,purchase-only,171.01,170.24
2003-05,traditional,purchase-only,172.73,171.17
2003-06,traditional,purchase-only,174.12,171.93
2003-07,traditional,purchase-only,175.48,173.25
2003-08,traditional,purchase-only,176.63,174.53
2003-09,traditional,purchase-only,177.66,175.9
2003-10,traditional,purchase-only,178.24,176.95
2003-11,traditional,purchase-only,179.01,178.37
2003-12,traditional,purchase-only,179.81,179.79
