time,index_type,index_flavor,index_nsa,index_sa
2004-01,traditional,purchase-only,180.36,180.94
2004-02,traditional,purchase-only,181.88,182.39
2004-03,traditional,purchase-only,183.87,183.65
2004-04,traditional,purchase-only,186.07,185.19
2004-05,traditional,purchase-only,188.76,186.94
2004-06,traditional,purchase-only,191.35,188.87
2004-07,traditional,purchase-only,192.92,190.42
2004-08,traditional,purchase-only,194.2,191.79
2004-09,traditional,purchase-only,195.24,193.26
2004-10,traditional,purchase-only,196.09,194.68
2004-11,traditional,purchase-only,197.16,196.5
2004-12,traditional,purchase-only,198.1,198.19
2005-01,traditional,purchase-only,198.74,199.57
2005-02,traditional,purchase-only,200.51,201.1
2005-03,traditional,purchase-only,203.35,203.11
2005-04,traditional,purchase-only,205.94,204.88
2005-05,traditional,purchase-only,208.72,206.57
2005-06,traditional,purchase-only,211.25,208.36
2005-07,traditional,purchase-only,213.3,210.45
2005-08,traditional,purchase-only,214.76,211.99
2005-09,traditional,purchase-only,216.09,213.9
2005-10,traditional,purchase-only,216.67,215.13
2005-11,traditional,purchase-only,217.24,216.58
2005-12,traditional,purchase-only,217.58,217.84
2006-01,traditional,purchase-only,218.03,219.14
2006-02,traditional,purchase-only,218.95,219.62
2006-03,traditional,purchase-only,220.72,220.47
2006-04,traditional,purchase-only,222.11,220.87
2006-05,traditional,purchase-only,223.9,221.44
2006-06,traditional,purchase-only,224.65,221.37
2006-07,traditional,purchase-only,224.42,221.26
2006-08,traditional,purchase-only,224.83,221.82
2006-09,traditional,purchase-only,224.08,221.79
2006-10,traditional,purchase-only,223.67,222.05
2006-11,traditional,purchase-only,223.38,222.72
2006-12,traditional,purchase-only,222.32,222.74
2007-01,traditional,purchase-only,222.23,223.56
2007-02,traditional,purchase-only,222.89,223.65
2007-03,traditional,purchase-only,224.6,224.47
2007-04,traditional,purchase-only,225.81,224.52
2007-05,traditional,purchase-only,226.04,223.39
2007-06,traditional,purchase-only,226.05,222.54
2007-07,traditional,purchase-only,224.75,221.42
2007-08,traditional,purchase-only,223.52,220.41
2007-09,traditional,purchase-only,221.75,219.49
2007-10,traditional,purchase-only,219.31,217.66
2007-11,traditional,purchase-only,216.89,216.2
2007-12,traditional,purchase-only,214.56,215.1
2008-01,traditional,purchase-only,211.92,213.37
2008-02,traditional,purchase-only,211.09,211.98
2008-03,traditional,purchase-only,210.0,210.1
2008-04,traditional,purchase-only,209.03,207.83
2008-05,traditional,purchase-only,208.03,205.44
2008-06,traditional,purchase-only,207.59,204.12
2008-07,traditional,purchase-only,205.59,202.26
2008-08,traditional,purchase-only,203.18,200.22
2008-09,traditional,purchase-only,200.51,198.38
2008-10,traditional,purchase-only,198.26,196.67
2008-11,traditional,purchase-only,193.9,193.12
2008-12,traditional,purchase-only,192.14,192.68
2009-01,traditional,purchase-only,192.78,194.28
2009-02,traditional,purchase-only,193.45,194.5
2009-03,traditional,purchase-only,191.77,192.11
2009-04,traditional,purchase-only,191.98,190.9
2009-05,traditional,purchase-only,193.42,190.87
2009-06,traditional,purchase-only,194.3,190.79
2009-07,traditional,purchase-only,193.65,190.2
2009-08,traditional,purchase-only,192.85,189.86
2009-09,traditional,purchase-only,191.82,189.65
2009-10,traditional,purchase-only,191.66,190.03
2009-11,traditional,purchase-only,191.5,190.59
2009-12,traditional,purchase-only,188.33,188.9
2010-01,traditional,purchase-only,187.36,189.01
2010-02,traditional,purchase-only,186.83,188.13
2010-03,traditional,purchase-only,187.34,187.85
2010-04,traditional,purchase-only,189.19,188.15
2010-05,traditional,purchase-only,190.78,188.11
2010-06,traditional,purchase-only,189.86,186.13
2010-07,traditional,purchase-only,188.68,184.97
2010-08,traditional,purchase-only,187.92,184.86
2010-09,traditional,purchase-only,185.33,183.07
2010-10,traditional,purchase-only,184.95,183.35
2010-11,traditional,purchase-only,183.62,182.67
2010-12,traditional,purchase-only,180.84,181.41
2011-01,traditional,purchase-only,178.58,180.31
2011-02,traditional,purchase-only,177.19,178.7
2011-03,traditional,purchase-only,176.24,176.78
2011-04,traditional,purchase-only,178.19,177.17
2011-05,traditional,purchase-only,179.44,176.73
2011-06,traditional,purchase-only,181.03,177.18
2011-07,traditional,purchase-only,181.37,177.51
2011-08,traditional,purchase-only,180.22,177.11
2011-09,traditional,purchase-only,180.37,178.08
2011-10,traditional,purchase-only,178.76,177.26
2011-11,traditional,purchase-only,178.75,177.83
2011-12,traditional,purchase-only,177.71,178.29
2012-01,traditional,purchase-only,175.87,177.69
2012-02,traditional,purchase-only,176.6,178.27
2012-03,traditional,purchase-only,179.2,179.7
2012-04,traditional,purchase-only,181.67,180.56
2012-05,traditional,purchase-only,184.59,181.66
2012-06,traditional,purchase-only,186.52,182.34
2012-07,traditional,purchase-only,186.87,182.68
2012-08,traditional,purchase-only,187.3,184.03
2012-09,traditional,purchase-only,187.02,184.64
2012-10,traditional,purchase-only,186.96,185.54
2012-11,traditional,purchase-only,187.27,186.46
2012-12,traditional,purchase-only,186.7,187.37
2013-01,traditional,purchase-only,186.84,188.85
2013-02,traditional,purchase-only,188.11,189.95
2013-03,traditional,purchase-only,191.6,191.9
2013-04,traditional,purchase-only,194.1,192.76
2013-05,traditional,purchase-only,197.58,194.3
2013-06,traditional,purchase-only,200.18,195.53
2013-07,traditional,purchase-only,201.18,196.55
2013-08,traditional,purchase-only,200.68,197.15
2013-09,traditional,purchase-only,200.61,198.13
2013-10,traditional,purchase-only,200.07,198.7
2013-11,traditional,purchase-only,199.4,198.74
2013-12,traditional,purchase-only,199.22,199.95
2014-01,traditional,purchase-only,198.79,200.89
2014-02,traditional,purchase-only,199.78,201.6
2014-03,traditional,purchase-only,202.17,202.13
2014-04,traditional,purchase-only,204.39,202.8
2014-05,traditional,purchase-only,206.75,203.17
2014-06,traditional,purchase-only,209.15,204.23
2014-07,traditional,purchase-only,209.85,205.01
2014-08,traditional,purchase-only,209.46,205.83
2014-09,traditional,purchase-only,208.55,206.05
2014-10,traditional,purchase-only,208.44,207.14
2014-11,traditional,purchase-only,208.72,208.2
2014-12,traditional,purchase-only,208.63,209.42
2015-01,traditional,purchase-only,207.77,209.83
2015-02,traditional,purchase-only,209.65,211.3
2015-03,traditional,purchase-only,212.35,211.95
2015-04,traditional,purchase-only,214.7,212.81
2015-05,traditional,purchase-only,217.83,213.96
2015-06,traditional,purchase-only,219.94,214.85
2015-07,traditional,purchase-only,220.72,215.78
2015-08,traditional,purchase-only,220.05,216.31
2015-09,traditional,purchase-only,219.83,217.34
2015-10,traditional,purchase-only,219.82,218.55
2015-11,traditional,purchase-only,220.05,219.56
2015-12,traditional,purchase-only,219.76,220.57
2016-01,traditional,purchase-only,219.66,221.67
2016-02,traditional,purchase-only,220.33,221.74
2016-03,traditional,purchase-only,224.07,223.34
2016-04,traditional,purchase-only,226.66,224.48
2016-05,traditional,purchase-only,229.61,225.49
2016-06,traditional,purchase-only,231.89,226.72
2016-07,traditional,purchase-only,232.83,227.86
2016-08,traditional,purchase-only,232.77,228.95
2016-09,traditional,purchase-only,232.79,230.28
2016-10,traditional,purchase-only,232.76,231.46
2016-11,traditional,purchase-only,232.89,232.39
2016-12,traditional,purchase-only,232.98,233.82
2017-01,traditional,purchase-only,232.19,234.1
2017-02,traditional,purchase-only,234.2,235.31
2017-03,traditional,purchase-only,237.8,236.74
2017-04,traditional,purchase-only,241.03,238.53
2017-05,traditional,purchase-only,244.02,239.66
2017-06,traditional,purchase-only,245.77,240.59
2017-07,traditional,purchase-only,246.78,241.81
2017-08,traditional,purchase-only,247.33,243.39
2017-09,traditional,purchase-only,247.16,244.51
2017-10,traditional,purchase-only,246.91,245.49
2017-11,traditional,purchase-only,247.68,247.11
2017-12,traditional,purchase-only,247.37,248.26
2018-01,traditional,purchase-only,248.24,250.13
2018-02,traditional,purchase-only,250.92,251.77
2018-03,traditional,purchase-only,254.0,252.65
2018-04,traditional,purchase-only,256.17,253.34
2018-05,traditional,purchase-only,259.14,254.51
2018-06,traditional,purchase-only,260.89,255.6
2018-07,traditional,purchase-only,261.67,256.62
2018-08,traditional,purchase-only,261.97,257.89
2018-09,traditional,purchase-only,261.16,258.34
2018-10,traditional,purchase-only,260.78,259.22
2018-11,traditional,purchase-only,261.31,260.77
2018-12,traditional,purchase-only,260.52,261.55
2019-01,traditional,purchase-only,261.12,263.03
2019-02,traditional,purchase-only,263.07,263.69
2019-03,traditional,purchase-only,266.17,264.59
2019-04,traditional,purchase-only,269.07,265.85
2019-05,traditional,purchase-only,271.95,267.01
2019-06,traditional,purchase-only,273.45,267.98
2019-07,traditional,purchase-only,274.23,269.05
2019-08,traditional,purchase-only,274.27,270.13
2019-09,traditional,purchase-only,274.62,271.67
2019-10,traditional,purchase-only,274.8,273.12
2019-11,traditional,purchase-only,275.19,274.75
2019-12,traditional,purchase-only,275.78,277.05
2020-01,traditional,purchase-only,276.68,278.76
2020-02,traditional,purchase-only,280.11,280.64
2020-03,traditional,purchase-only,282.94,281.17
2020-04,traditional,purchase-only,285.23,281.51
2020-05,traditional,purchase-only,285.9,280.47
2020-06,traditional,purchase-only,289.47,283.54
2020-07,traditional,purchase-only,293.14,287.58
2020-08,traditional,purchase-only,296.95,292.62
2020-09,traditional,purchase-only,300.51,297.31
2020-10,traditional,purchase-only,303.75,301.91
2020-11,traditional,purchase-only,305.82,305.53
2020-12,traditional,purchase-only,307.87,309.58
2021-01,traditional,purchase-only,310.8,313.28
2021-02,traditional,purchase-only,315.48,315.99
2021-03,traditional,purchase-only,322.72,320.6
2021-04,traditional,purchase-only,330.08,325.37
2021-05,traditional,purchase-only,337.51,330.77
2021-06,traditional,purchase-only,344.04,336.76
2021-07,traditional,purchase-only,348.48,341.85
2021-08,traditional,purchase-only,350.86,345.94
2021-09,traditional,purchase-only,353.2,349.48
2021-10,traditional,purchase-only,356.02,353.92
2021-11,traditional,purchase-only,358.94,358.85
2021-12,traditional,purchase-only,361.62,363.89
2022-01,traditional,purchase-only,366.15,369.29
2022-02,traditional,purchase-only,373.89,374.48
2022-03,traditional,purchase-only,381.67,379.09
2022-04,traditional,purchase-only,389.73,383.76
2022-05,traditional,purchase-only,395.55,387.29
2022-06,traditional,purchase-only,396.9,388.18
2022-07,traditional,purchase-only,393.93,386.36
2022-08,traditional,purchase-only,390.15,384.78
2022-09,traditional,purchase-only,389.71,385.63
2022-10,traditional,purchase-only,388.46,386.28
2022-11,traditional,purchase-only,386.18,386.26
2022-12,traditional,purchase-only,383.91,386.47
2023-01,traditional,purchase-only,384.29,387.76
2023-02,traditional,purchase-only,389.7,390.24
2023-03,traditional,purchase-only,395.0,392.19
2023-04,traditional,purchase-only,400.91,394.42
2023-05,traditional,purchase-only,406.29,397.48
2023-06,traditional,purchase-only,409.14,399.91
2023-07,traditional,purchase-only,411.22,403.34
2023-08,traditional,purchase-only,411.62,406.08
2023-09,traditional,purchase-only,412.44,408.16
2023-10,traditional,purchase-only,412.06,409.84
2023-11,traditional,purchase-only,410.95,411.1
2023-12,traditional,purchase-only,409.75,412.49
2024-01,traditional,purchase-only,409.09,412.84
2024-02,traditional,purchase-only,416.84,417.32
2024-03,traditional,purchase-only,421.23,418.1
2024-04,traditional,purchase-only,427.05,419.94
2024-05,traditional,purchase-only,430.07,420.58
2024-06,traditional,purchase-only,431.28,421.41
2024-07,traditional,purchase-only,430.89,422.66
2024-08,traditional,purchase-only,430.03,424.25
2024-09,traditional,purchase-only,431.49,426.98
2024-10,traditional,purchase-only,431.35,429.08
2024-11,traditional,purchase-only,430.55,430.66
2024-12,traditional,purchase-only,429.97,432.72
2025-01,traditional,purchase-only,430.52,434.45
2025-02,traditional,purchase-only,434.26,434.59
2025-03,traditional,purchase-only,438.33,434.92
2025-04,traditional,purchase-only,441.32,433.81
2025-05,traditional,purchase-only,443.75,433.89
2025-06,traditional,purchase-only,443.74,433.56
2025-07,traditional,purchase-only,441.86,433.45
2025-08,traditional,purchase-only,441.3,435.3
2025-09,traditional,purchase-only,439.72,435.04
2025-10,traditional,purchase-only,439.15,436.78
2025-11,traditional,purchase-only,439.72,439.72
2025-12,traditional,purchase-only,437.71,440.36
