time,new_listing_count
2016-07,527576.0
2016-08,470786.0
2016-09,452994.0
2016-10,413380.0
2016-11,376706.0
2016-12,281556.0
2017-01,387202.0
2017-02,437754.0
2017-03,509098.0
2017-04,555252.0
2017-05,566590.0
2017-06,539118.0
2017-07,533556.0
2017-08,500084.0
2017-09,439208.0
2017-10,428158.0
2017-11,384202.0
2017-12,288036.0
2018-01,381636.0
2018-02,433626.0
2018-03,502856.0
2018-04,552412.0
2018-05,579566.0
2018-06,546536.0
2018-07,523848.0
2018-08,492638.0
2018-09,466844.0
2018-10,437492.0
2018-11,390884.0
2018-12,300284.0
2019-01,399042.0
2019-02,409938.0
2019-03,477856.0
2019-04,552270.0
2019-05,584354.0
2019-06,556660.0
2019-07,513256.0
2019-08,479536.0
2019-09,453048.0
2019-10,426788.0
2019-11,369004.0
2019-12,267124.0
2020-01,379396.0
2020-02,413568.0
2020-03,479598.0
2020-04,348798.0
2020-05,450560.0
2020-06,496332.0
2020-07,505862.0
2020-08,493892.0
2020-09,484440.0
2020-10,456300.0
2020-11,389802.0
2020-12,309722.0
2021-01,362648.0
2021-02,380256.0
2021-03,454354.0
2021-04,491776.0
2021-05,509604.0
2021-06,545860.0
2021-07,520628.0
2021-08,493428.0
2021-09,457160.0
2021-10,430272.0
2021-11,375248.0
2021-12,286166.0
2022-01,323876.0
2022-02,368452.0
2022-03,435132.0
2022-04,495660.0
2022-05,526360.0
2022-06,533440.0
2022-07,471952.0
2022-08,418474.0
2022-09,393884.0
2022-10,360284.0
2022-11,295006.0
2022-12,215940.0
2023-01,287140.0
2023-02,304872.0
2023-03,342380.0
2023-04,385052.0
2023-05,406776.0
2023-06,396170.0
2023-07,374104.0
2023-08,387238.0
2023-09,358088.0
2023-10,348692.0
2023-11,317146.0
2023-12,235584.0
2024-01,295190.0
2024-02,339380.0
2024-03,395536.0
2024-04,432032.0
2024-05,433906.0
2024-06,426092.0
2024-07,405404.0
2024-08,383552.0
2024-09,389878.0
2024-10,365692.0
2024-11,323376.0
2024-12,237758.0
2025-01,327016.0
2025-02,353658.0
2025-03,435960.0
2025-04,471788.0
2025-05,465096.0
2025-06,452414.0
2025-07,434816.0
2025-08,402268.0
2025-09,394878.0
2025-10,385448.0
2025-11,330908.0
2025-12,233430.0
2026-01,329228.0
2026-02,362180.0
