observation_date,ORLPOP
2000-01-01,1656.835
2001-01-01,1708.955
2002-01-01,1756.852
2003-01-01,1803.474
2004-01-01,1866.597
2005-01-01,1939.766
2006-01-01,1999.994
2007-01-01,2034.878
2008-01-01,2060.968
2009-01-01,2082.421
2010-01-01,2139.227
2011-01-01,2176.297
2012-01-01,2226.080
2013-01-01,2270.811
2014-01-01,2325.257
2015-01-01,2389.577
2016-01-01,2457.432
2017-01-01,2519.926
2018-01-01,2576.297
2019-01-01,2608.273
2020-01-01,2680.593
2021-01-01,2699.313
2022-01-01,2783.767
2023-01-01,2864.544
2024-01-01,2940.513
