state,industry,compensation
Alabama,  Farm compensation,274871.0
Alabama,"      Mining, quarrying, and oil and gas extraction",710120.0
Alabama,      Utilities,2169284.0
Alabama,      Construction,8359728.0
Alabama,      Manufacturing,24364815.0
Alabama,      Wholesale trade,7838205.0
Alabama,      Retail trade,10735178.0
Alabama,      Transportation and warehousing,5666331.0
Alabama,      Information,2348798.0
Alabama,      Finance and insurance,8898855.0
Alabama,      Real estate and rental and leasing,1878593.0
Alabama,"      Professional, scientific, and technical services",14019325.0
Alabama,      Management of companies and enterprises,2341461.0
Alabama,      Administrative and support and waste management and remediation services,6248278.0
Alabama,      Educational services,1251940.0
Alabama,      Health care and social assistance,16485552.0
Alabama,"      Arts, entertainment, and recreation",778331.0
Alabama,      Accommodation and food services,5571535.0
Alabama,    Government and government enterprises,34014528.0
Alaska,  Farm compensation,31063.0
Alaska,"      Mining, quarrying, and oil and gas extraction",2379792.0
Alaska,      Utilities,384041.0
Alaska,      Construction,1991001.0
Alaska,      Manufacturing,1179178.0
Alaska,      Wholesale trade,585976.0
Alaska,      Retail trade,1878526.0
Alaska,      Transportation and warehousing,2428706.0
Alaska,      Information,499175.0
Alaska,      Finance and insurance,695289.0
Alaska,      Real estate and rental and leasing,321539.0
Alaska,"      Professional, scientific, and technical services",1492210.0
Alaska,      Management of companies and enterprises,424002.0
Alaska,      Administrative and support and waste management and remediation services,863273.0
Alaska,      Educational services,178513.0
Alaska,      Health care and social assistance,4400262.0
Alaska,"      Arts, entertainment, and recreation",234658.0
Alaska,      Accommodation and food services,1399036.0
Alaska,    Government and government enterprises,10945282.0
Arizona,  Farm compensation,586716.0
Arizona,"      Mining, quarrying, and oil and gas extraction",1690711.0
Arizona,      Utilities,2037786.0
Arizona,      Construction,19361879.0
Arizona,      Manufacturing,22219370.0
Arizona,      Wholesale trade,14029860.0
Arizona,      Retail trade,19176821.0
Arizona,      Transportation and warehousing,10340513.0
Arizona,      Information,6942239.0
Arizona,      Finance and insurance,21895019.0
