time,state_name,state_abbr,index_type,index_flavor,index_nsa,index_sa
1975-Q1,Alabama,AL,traditional,all-transactions,72.92,
1975-Q1,Alaska,AK,traditional,all-transactions,62.03,
1975-Q1,Arizona,AZ,traditional,all-transactions,59.47,
1975-Q1,Arkansas,AR,traditional,all-transactions,67.17,
1975-Q1,California,CA,traditional,all-transactions,41.67,
1975-Q1,Colorado,CO,traditional,all-transactions,54.56,
1975-Q1,Connecticut,CT,traditional,all-transactions,62.85,
1975-Q1,Delaware,DE,traditional,all-transactions,76.84,
1975-Q1,District of Columbia,DC,traditional,all-transactions,47.71,
1975-Q1,Florida,FL,traditional,all-transactions,66.07,
1975-Q1,Georgia,GA,traditional,all-transactions,73.9,
1975-Q1,Hawaii,HI,traditional,all-transactions,62.73,
1975-Q1,Idaho,ID,traditional,all-transactions,67.25,
1975-Q1,Illinois,IL,traditional,all-transactions,65.92,
1975-Q1,Indiana,IN,traditional,all-transactions,65.8,
1975-Q1,Iowa,IA,traditional,all-transactions,59.35,
1975-Q1,Kansas,KS,traditional,all-transactions,62.04,
1975-Q1,Kentucky,KY,traditional,all-transactions,63.64,
1975-Q1,Louisiana,LA,traditional,all-transactions,51.8,
1975-Q1,Maine,ME,traditional,all-transactions,59.26,
1975-Q1,Maryland,MD,traditional,all-transactions,61.47,
1975-Q1,Massachusetts,MA,traditional,all-transactions,67.42,
1975-Q1,Michigan,MI,traditional,all-transactions,60.26,
1975-Q1,Minnesota,MN,traditional,all-transactions,55.97,
1975-Q1,Mississippi,MS,traditional,all-transactions,74.63,
1975-Q1,Missouri,MO,traditional,all-transactions,65.32,
1975-Q1,Montana,MT,traditional,all-transactions,53.86,
1975-Q1,Nebraska,NE,traditional,all-transactions,63.71,
1975-Q1,Nevada,NV,traditional,all-transactions,53.17,
1975-Q1,New Hampshire,NH,traditional,all-transactions,63.82,
1975-Q1,New Jersey,NJ,traditional,all-transactions,64.79,
1975-Q1,New Mexico,NM,traditional,all-transactions,58.18,
1975-Q1,New York,NY,traditional,all-transactions,78.05,
1975-Q1,North Carolina,NC,traditional,all-transactions,66.01,
1975-Q1,North Dakota,ND,traditional,all-transactions,62.95,
1975-Q1,Ohio,OH,traditional,all-transactions,65.05,
1975-Q1,Oklahoma,OK,traditional,all-transactions,52.44,
1975-Q1,Oregon,OR,traditional,all-transactions,51.63,
1975-Q1,Pennsylvania,PA,traditional,all-transactions,71.69,
1975-Q1,Rhode Island,RI,traditional,all-transactions,60.93,
1975-Q1,South Carolina,SC,traditional,all-transactions,76.04,
1975-Q1,South Dakota,SD,traditional,all-transactions,74.55,
1975-Q1,Tennessee,TN,traditional,all-transactions,67.82,
1975-Q1,Texas,TX,traditional,all-transactions,55.99,
1975-Q1,Utah,UT,traditional,all-transactions,55.12,
1975-Q1,Vermont,VT,traditional,all-transactions,77.37,
1975-Q1,Virginia,VA,traditional,all-transactions,69.68,
1975-Q1,Washington,WA,traditional,all-transactions,46.45,
1975-Q1,West Virginia,WV,traditional,all-transactions,51.78,
1975-Q1,Wisconsin,WI,traditional,all-transactions,61.99,
1975-Q1,Wyoming,WY,traditional,all-transactions,50.42,
1975-Q2,Alabama,AL,traditional,all-transactions,72.09,
1975-Q2,Alaska,AK,traditional,all-transactions,63.7,
1975-Q2,Arizona,AZ,traditional,all-transactions,60.45,
1975-Q2,Arkansas,AR,traditional,all-transactions,60.21,
1975-Q2,California,CA,traditional,all-transactions,42.78,
1975-Q2,Colorado,CO,traditional,all-transactions,54.58,
1975-Q2,Connecticut,CT,traditional,all-transactions,62.95,
1975-Q2,Delaware,DE,traditional,all-transactions,89.52,
1975-Q2,District of Columbia,DC,traditional,all-transactions,46.87,
1975-Q2,Florida,FL,traditional,all-transactions,83.59,
1975-Q2,Georgia,GA,traditional,all-transactions,71.68,
1975-Q2,Hawaii,HI,traditional,all-transactions,53.83,
1975-Q2,Idaho,ID,traditional,all-transactions,69.74,
1975-Q2,Illinois,IL,traditional,all-transactions,62.23,
1975-Q2,Indiana,IN,traditional,all-transactions,60.74,
1975-Q2,Iowa,IA,traditional,all-transactions,64.26,
1975-Q2,Kansas,KS,traditional,all-transactions,62.19,
1975-Q2,Kentucky,KY,traditional,all-transactions,65.42,
1975-Q2,Louisiana,LA,traditional,all-transactions,55.18,
1975-Q2,Maine,ME,traditional,all-transactions,86.73,
1975-Q2,Maryland,MD,traditional,all-transactions,62.43,
1975-Q2,Massachusetts,MA,traditional,all-transactions,66.55,
1975-Q2,Michigan,MI,traditional,all-transactions,62.58,
1975-Q2,Minnesota,MN,traditional,all-transactions,56.21,
1975-Q2,Mississippi,MS,traditional,all-transactions,72.04,
1975-Q2,Missouri,MO,traditional,all-transactions,73.52,
1975-Q2,Montana,MT,traditional,all-transactions,54.07,
1975-Q2,Nebraska,NE,traditional,all-transactions,62.47,
1975-Q2,Nevada,NV,traditional,all-transactions,43.98,
1975-Q2,New Hampshire,NH,traditional,all-transactions,62.1,
1975-Q2,New Jersey,NJ,traditional,all-transactions,59.25,
1975-Q2,New Mexico,NM,traditional,all-transactions,58.87,
1975-Q2,New York,NY,traditional,all-transactions,75.59,
1975-Q2,North Carolina,NC,traditional,all-transactions,67.13,
