time,state_name,state_abbr,index_type,index_flavor,index_nsa,index_sa
1975-Q2,North Dakota,ND,traditional,all-transactions,60.4,
1975-Q2,Ohio,OH,traditional,all-transactions,64.73,
1975-Q2,Oklahoma,OK,traditional,all-transactions,53.28,
1975-Q2,Oregon,OR,traditional,all-transactions,51.08,
1975-Q2,Pennsylvania,PA,traditional,all-transactions,69.94,
1975-Q2,Rhode Island,RI,traditional,all-transactions,66.28,
1975-Q2,South Carolina,SC,traditional,all-transactions,69.45,
1975-Q2,South Dakota,SD,traditional,all-transactions,69.28,
1975-Q2,Tennessee,TN,traditional,all-transactions,68.7,
1975-Q2,Texas,TX,traditional,all-transactions,58.5,
1975-Q2,Utah,UT,traditional,all-transactions,59.3,
1975-Q2,Vermont,VT,traditional,all-transactions,76.45,
1975-Q2,Virginia,VA,traditional,all-transactions,66.76,
1975-Q2,Washington,WA,traditional,all-transactions,47.4,
1975-Q2,West Virginia,WV,traditional,all-transactions,64.26,
1975-Q2,Wisconsin,WI,traditional,all-transactions,62.64,
1975-Q2,Wyoming,WY,traditional,all-transactions,48.18,
1975-Q3,Alabama,AL,traditional,all-transactions,74.82,
1975-Q3,Alaska,AK,traditional,all-transactions,66.62,
1975-Q3,Arizona,AZ,traditional,all-transactions,59.04,
1975-Q3,Arkansas,AR,traditional,all-transactions,64.89,
1975-Q3,California,CA,traditional,all-transactions,44.35,
1975-Q3,Colorado,CO,traditional,all-transactions,55.45,
1975-Q3,Connecticut,CT,traditional,all-transactions,61.91,
1975-Q3,Delaware,DE,traditional,all-transactions,86.84,
1975-Q3,District of Columbia,DC,traditional,all-transactions,47.3,
1975-Q3,Florida,FL,traditional,all-transactions,66.85,
1975-Q3,Georgia,GA,traditional,all-transactions,73.69,
1975-Q3,Hawaii,HI,traditional,all-transactions,80.68,
1975-Q3,Idaho,ID,traditional,all-transactions,60.54,
1975-Q3,Illinois,IL,traditional,all-transactions,64.12,
1975-Q3,Indiana,IN,traditional,all-transactions,61.95,
1975-Q3,Iowa,IA,traditional,all-transactions,64.46,
1975-Q3,Kansas,KS,traditional,all-transactions,63.49,
1975-Q3,Kentucky,KY,traditional,all-transactions,66.74,
1975-Q3,Louisiana,LA,traditional,all-transactions,52.5,
1975-Q3,Maine,ME,traditional,all-transactions,70.35,
1975-Q3,Maryland,MD,traditional,all-transactions,64.88,
1975-Q3,Massachusetts,MA,traditional,all-transactions,66.93,
1975-Q3,Michigan,MI,traditional,all-transactions,63.34,
1975-Q3,Minnesota,MN,traditional,all-transactions,58.29,
1975-Q3,Mississippi,MS,traditional,all-transactions,72.18,
1975-Q3,Missouri,MO,traditional,all-transactions,65.57,
1975-Q3,Montana,MT,traditional,all-transactions,56.51,
1975-Q3,Nebraska,NE,traditional,all-transactions,61.83,
1975-Q3,Nevada,NV,traditional,all-transactions,54.1,
1975-Q3,New Hampshire,NH,traditional,all-transactions,76.24,
1975-Q3,New Jersey,NJ,traditional,all-transactions,60.26,
1975-Q3,New Mexico,NM,traditional,all-transactions,59.61,
1975-Q3,New York,NY,traditional,all-transactions,77.64,
1975-Q3,North Carolina,NC,traditional,all-transactions,69.34,
1975-Q3,North Dakota,ND,traditional,all-transactions,66.01,
1975-Q3,Ohio,OH,traditional,all-transactions,64.35,
1975-Q3,Oklahoma,OK,traditional,all-transactions,52.99,
1975-Q3,Oregon,OR,traditional,all-transactions,54.63,
1975-Q3,Pennsylvania,PA,traditional,all-transactions,74.43,
1975-Q3,Rhode Island,RI,traditional,all-transactions,64.88,
1975-Q3,South Carolina,SC,traditional,all-transactions,71.81,
1975-Q3,South Dakota,SD,traditional,all-transactions,64.65,
1975-Q3,Tennessee,TN,traditional,all-transactions,67.94,
1975-Q3,Texas,TX,traditional,all-transactions,56.48,
1975-Q3,Utah,UT,traditional,all-transactions,55.84,
1975-Q3,Vermont,VT,traditional,all-transactions,66.35,
1975-Q3,Virginia,VA,traditional,all-transactions,67.34,
1975-Q3,Washington,WA,traditional,all-transactions,49.86,
1975-Q3,West Virginia,WV,traditional,all-transactions,70.21,
1975-Q3,Wisconsin,WI,traditional,all-transactions,64.77,
1975-Q3,Wyoming,WY,traditional,all-transactions,51.18,
1975-Q4,Alabama,AL,traditional,all-transactions,71.21,
1975-Q4,Alaska,AK,traditional,all-transactions,68.27,
1975-Q4,Arizona,AZ,traditional,all-transactions,55.95,
1975-Q4,Arkansas,AR,traditional,all-transactions,61.98,
1975-Q4,California,CA,traditional,all-transactions,45.75,
1975-Q4,Colorado,CO,traditional,all-transactions,54.69,
1975-Q4,Connecticut,CT,traditional,all-transactions,61.84,
1975-Q4,Delaware,DE,traditional,all-transactions,71.35,
1975-Q4,District of Columbia,DC,traditional,all-transactions,53.74,
1975-Q4,Florida,FL,traditional,all-transactions,68.15,
1975-Q4,Georgia,GA,traditional,all-transactions,73.79,
1975-Q4,Hawaii,HI,traditional,all-transactions,55.78,
1975-Q4,Idaho,ID,traditional,all-transactions,119.0,
1975-Q4,Illinois,IL,traditional,all-transactions,67.15,
1975-Q4,Indiana,IN,traditional,all-transactions,63.25,
1975-Q4,Iowa,IA,traditional,all-transactions,66.21,
1975-Q4,Kansas,KS,traditional,all-transactions,64.47,
1975-Q4,Kentucky,KY,traditional,all-transactions,67.75,
1975-Q4,Louisiana,LA,traditional,all-transactions,55.89,
1975-Q4,Maine,ME,traditional,all-transactions,70.28,
1975-Q4,Maryland,MD,traditional,all-transactions,66.99,
1975-Q4,Massachusetts,MA,traditional,all-transactions,70.47,
1975-Q4,Michigan,MI,traditional,all-transactions,62.27,
1975-Q4,Minnesota,MN,traditional,all-transactions,60.58,
1975-Q4,Mississippi,MS,traditional,all-transactions,73.26,
1975-Q4,Missouri,MO,traditional,all-transactions,65.03,
1975-Q4,Montana,MT,traditional,all-transactions,54.51,
1975-Q4,Nebraska,NE,traditional,all-transactions,67.98,
1975-Q4,Nevada,NV,traditional,all-transactions,53.4,
1975-Q4,New Hampshire,NH,traditional,all-transactions,55.44,
1975-Q4,New Jersey,NJ,traditional,all-transactions,63.02,
1975-Q4,New Mexico,NM,traditional,all-transactions,55.93,
1975-Q4,New York,NY,traditional,all-transactions,79.18,
1975-Q4,North Carolina,NC,traditional,all-transactions,70.65,
1975-Q4,North Dakota,ND,traditional,all-transactions,63.5,
1975-Q4,Ohio,OH,traditional,all-transactions,65.97,
1975-Q4,Oklahoma,OK,traditional,all-transactions,54.86,
1975-Q4,Oregon,OR,traditional,all-transactions,53.53,
1975-Q4,Pennsylvania,PA,traditional,all-transactions,72.08,
1975-Q4,Rhode Island,RI,traditional,all-transactions,66.72,
1975-Q4,South Carolina,SC,traditional,all-transactions,70.15,
1975-Q4,South Dakota,SD,traditional,all-transactions,63.46,
1975-Q4,Tennessee,TN,traditional,all-transactions,70.87,
1975-Q4,Texas,TX,traditional,all-transactions,59.28,
1975-Q4,Utah,UT,traditional,all-transactions,59.75,
1975-Q4,Vermont,VT,traditional,all-transactions,72.81,
1975-Q4,Virginia,VA,traditional,all-transactions,67.73,
1975-Q4,Washington,WA,traditional,all-transactions,48.36,
1975-Q4,West Virginia,WV,traditional,all-transactions,66.38,
1975-Q4,Wisconsin,WI,traditional,all-transactions,68.87,
1975-Q4,Wyoming,WY,traditional,all-transactions,54.34,
1976-Q1,Alabama,AL,traditional,all-transactions,76.87,
1976-Q1,Alaska,AK,traditional,all-transactions,70.76,
1976-Q1,Arizona,AZ,traditional,all-transactions,58.97,
1976-Q1,Arkansas,AR,traditional,all-transactions,66.2,
1976-Q1,California,CA,traditional,all-transactions,47.83,
1976-Q1,Colorado,CO,traditional,all-transactions,55.21,
1976-Q1,Connecticut,CT,traditional,all-transactions,64.76,
1976-Q1,Delaware,DE,traditional,all-transactions,79.27,
1976-Q1,District of Columbia,DC,traditional,all-transactions,53.1,
1976-Q1,Florida,FL,traditional,all-transactions,68.14,
1976-Q1,Georgia,GA,traditional,all-transactions,71.98,
1976-Q1,Hawaii,HI,traditional,all-transactions,53.6,
1976-Q1,Idaho,ID,traditional,all-transactions,64.06,
1976-Q1,Illinois,IL,traditional,all-transactions,68.16,
1976-Q1,Indiana,IN,traditional,all-transactions,62.38,
1976-Q1,Iowa,IA,traditional,all-transactions,68.77,
1976-Q1,Kansas,KS,traditional,all-transactions,66.84,
1976-Q1,Kentucky,KY,traditional,all-transactions,69.19,
1976-Q1,Louisiana,LA,traditional,all-transactions,59.09,
1976-Q1,Maine,ME,traditional,all-transactions,55.67,
1976-Q1,Maryland,MD,traditional,all-transactions,66.94,
1976-Q1,Massachusetts,MA,traditional,all-transactions,67.52,
1976-Q1,Michigan,MI,traditional,all-transactions,63.24,
1976-Q1,Minnesota,MN,traditional,all-transactions,62.88,
1976-Q1,Mississippi,MS,traditional,all-transactions,72.59,
1976-Q1,Missouri,MO,traditional,all-transactions,67.13,
1976-Q1,Montana,MT,traditional,all-transactions,56.8,
1976-Q1,Nebraska,NE,traditional,all-transactions,67.29,
1976-Q1,Nevada,NV,traditional,all-transactions,48.59,
1976-Q1,New Hampshire,NH,traditional,all-transactions,69.93,
1976-Q1,New Jersey,NJ,traditional,all-transactions,62.78,
1976-Q1,New Mexico,NM,traditional,all-transactions,59.68,
1976-Q1,New York,NY,traditional,all-transactions,72.53,
1976-Q1,North Carolina,NC,traditional,all-transactions,69.39,
1976-Q1,North Dakota,ND,traditional,all-transactions,75.21,
1976-Q1,Ohio,OH,traditional,all-transactions,66.48,
1976-Q1,Oklahoma,OK,traditional,all-transactions,54.71,
1976-Q1,Oregon,OR,traditional,all-transactions,57.21,
1976-Q1,Pennsylvania,PA,traditional,all-transactions,73.23,
1976-Q1,Rhode Island,RI,traditional,all-transactions,66.06,
1976-Q1,South Carolina,SC,traditional,all-transactions,70.6,
1976-Q1,South Dakota,SD,traditional,all-transactions,62.48,
1976-Q1,Tennessee,TN,traditional,all-transactions,70.3,
1976-Q1,Texas,TX,traditional,all-transactions,58.74,
1976-Q1,Utah,UT,traditional,all-transactions,60.96,
1976-Q1,Vermont,VT,traditional,all-transactions,117.09,
1976-Q1,Virginia,VA,traditional,all-transactions,69.32,
1976-Q1,Washington,WA,traditional,all-transactions,50.4,
1976-Q1,West Virginia,WV,traditional,all-transactions,62.26,
1976-Q1,Wisconsin,WI,traditional,all-transactions,65.4,
1976-Q1,Wyoming,WY,traditional,all-transactions,55.33,
1976-Q2,Alabama,AL,traditional,all-transactions,73.96,
1976-Q2,Alaska,AK,traditional,all-transactions,70.11,
1976-Q2,Arizona,AZ,traditional,all-transactions,62.68,
1976-Q2,Arkansas,AR,traditional,all-transactions,68.01,
1976-Q2,California,CA,traditional,all-transactions,50.3,
1976-Q2,Colorado,CO,traditional,all-transactions,59.99,
1976-Q2,Connecticut,CT,traditional,all-transactions,63.97,
1976-Q2,Delaware,DE,traditional,all-transactions,85.28,
1976-Q2,District of Columbia,DC,traditional,all-transactions,52.84,
1976-Q2,Florida,FL,traditional,all-transactions,76.06,
1976-Q2,Georgia,GA,traditional,all-transactions,73.23,
1976-Q2,Hawaii,HI,traditional,all-transactions,56.65,
1976-Q2,Idaho,ID,traditional,all-transactions,81.29,
1976-Q2,Illinois,IL,traditional,all-transactions,70.53,
1976-Q2,Indiana,IN,traditional,all-transactions,66.03,
1976-Q2,Iowa,IA,traditional,all-transactions,71.39,
1976-Q2,Kansas,KS,traditional,all-transactions,67.34,
1976-Q2,Kentucky,KY,traditional,all-transactions,68.05,
1976-Q2,Louisiana,LA,traditional,all-transactions,58.86,
1976-Q2,Maine,ME,traditional,all-transactions,72.57,
1976-Q2,Maryland,MD,traditional,all-transactions,69.77,
1976-Q2,Massachusetts,MA,traditional,all-transactions,68.74,
1976-Q2,Michigan,MI,traditional,all-transactions,64.27,
1976-Q2,Minnesota,MN,traditional,all-transactions,62.16,
1976-Q2,Mississippi,MS,traditional,all-transactions,73.71,
1976-Q2,Missouri,MO,traditional,all-transactions,77.25,
1976-Q2,Montana,MT,traditional,all-transactions,62.04,
1976-Q2,Nebraska,NE,traditional,all-transactions,67.09,
1976-Q2,Nevada,NV,traditional,all-transactions,56.44,
1976-Q2,New Hampshire,NH,traditional,all-transactions,72.53,
1976-Q2,New Jersey,NJ,traditional,all-transactions,63.48,
1976-Q2,New Mexico,NM,traditional,all-transactions,61.49,
1976-Q2,New York,NY,traditional,all-transactions,74.52,
1976-Q2,North Carolina,NC,traditional,all-transactions,70.25,
1976-Q2,North Dakota,ND,traditional,all-transactions,72.68,
1976-Q2,Ohio,OH,traditional,all-transactions,68.68,
1976-Q2,Oklahoma,OK,traditional,all-transactions,61.02,
1976-Q2,Oregon,OR,traditional,all-transactions,57.06,
1976-Q2,Pennsylvania,PA,traditional,all-transactions,77.02,
1976-Q2,Rhode Island,RI,traditional,all-transactions,69.32,
1976-Q2,South Carolina,SC,traditional,all-transactions,78.66,
1976-Q2,South Dakota,SD,traditional,all-transactions,64.74,
1976-Q2,Tennessee,TN,traditional,all-transactions,68.53,
1976-Q2,Texas,TX,traditional,all-transactions,63.59,
1976-Q2,Utah,UT,traditional,all-transactions,61.78,
1976-Q2,Vermont,VT,traditional,all-transactions,57.47,
1976-Q2,Virginia,VA,traditional,all-transactions,68.5,
1976-Q2,Washington,WA,traditional,all-transactions,53.55,
1976-Q2,West Virginia,WV,traditional,all-transactions,67.73,
1976-Q2,Wisconsin,WI,traditional,all-transactions,65.06,
1976-Q2,Wyoming,WY,traditional,all-transactions,55.89,
1976-Q3,Alabama,AL,traditional,all-transactions,77.41,
1976-Q3,Alaska,AK,traditional,all-transactions,74.67,
1976-Q3,Arizona,AZ,traditional,all-transactions,60.94,
1976-Q3,Arkansas,AR,traditional,all-transactions,70.51,
1976-Q3,California,CA,traditional,all-transactions,53.58,
1976-Q3,Colorado,CO,traditional,all-transactions,60.04,
1976-Q3,Connecticut,CT,traditional,all-transactions,67.4,
1976-Q3,Delaware,DE,traditional,all-transactions,80.68,
1976-Q3,District of Columbia,DC,traditional,all-transactions,59.54,
1976-Q3,Florida,FL,traditional,all-transactions,68.99,
1976-Q3,Georgia,GA,traditional,all-transactions,78.88,
1976-Q3,Hawaii,HI,traditional,all-transactions,57.1,
1976-Q3,Idaho,ID,traditional,all-transactions,71.58,
1976-Q3,Illinois,IL,traditional,all-transactions,73.66,
1976-Q3,Indiana,IN,traditional,all-transactions,65.87,
1976-Q3,Iowa,IA,traditional,all-transactions,74.8,
1976-Q3,Kansas,KS,traditional,all-transactions,68.76,
1976-Q3,Kentucky,KY,traditional,all-transactions,68.76,
1976-Q3,Louisiana,LA,traditional,all-transactions,58.16,
1976-Q3,Maine,ME,traditional,all-transactions,82.02,
1976-Q3,Maryland,MD,traditional,all-transactions,70.44,
1976-Q3,Massachusetts,MA,traditional,all-transactions,68.85,
1976-Q3,Michigan,MI,traditional,all-transactions,64.28,
1976-Q3,Minnesota,MN,traditional,all-transactions,63.38,
1976-Q3,Mississippi,MS,traditional,all-transactions,72.03,
1976-Q3,Missouri,MO,traditional,all-transactions,69.17,
1976-Q3,Montana,MT,traditional,all-transactions,61.35,
1976-Q3,Nebraska,NE,traditional,all-transactions,68.69,
1976-Q3,Nevada,NV,traditional,all-transactions,60.86,
1976-Q3,New Hampshire,NH,traditional,all-transactions,60.1,
1976-Q3,New Jersey,NJ,traditional,all-transactions,65.88,
1976-Q3,New Mexico,NM,traditional,all-transactions,64.19,
1976-Q3,New York,NY,traditional,all-transactions,75.4,
1976-Q3,North Carolina,NC,traditional,all-transactions,71.02,
1976-Q3,North Dakota,ND,traditional,all-transactions,70.3,
1976-Q3,Ohio,OH,traditional,all-transactions,71.22,
1976-Q3,Oklahoma,OK,traditional,all-transactions,59.64,
1976-Q3,Oregon,OR,traditional,all-transactions,60.29,
1976-Q3,Pennsylvania,PA,traditional,all-transactions,78.06,
1976-Q3,Rhode Island,RI,traditional,all-transactions,70.3,
1976-Q3,South Carolina,SC,traditional,all-transactions,76.62,
1976-Q3,South Dakota,SD,traditional,all-transactions,68.3,
1976-Q3,Tennessee,TN,traditional,all-transactions,71.62,
1976-Q3,Texas,TX,traditional,all-transactions,63.21,
1976-Q3,Utah,UT,traditional,all-transactions,64.88,
1976-Q3,Vermont,VT,traditional,all-transactions,81.33,
1976-Q3,Virginia,VA,traditional,all-transactions,70.55,
1976-Q3,Washington,WA,traditional,all-transactions,56.65,
1976-Q3,West Virginia,WV,traditional,all-transactions,69.46,
1976-Q3,Wisconsin,WI,traditional,all-transactions,67.49,
1976-Q3,Wyoming,WY,traditional,all-transactions,58.9,
1976-Q4,Alabama,AL,traditional,all-transactions,78.95,
1976-Q4,Alaska,AK,traditional,all-transactions,72.48,
1976-Q4,Arizona,AZ,traditional,all-transactions,61.46,
1976-Q4,Arkansas,AR,traditional,all-transactions,71.59,
1976-Q4,California,CA,traditional,all-transactions,55.58,
1976-Q4,Colorado,CO,traditional,all-transactions,62.18,
1976-Q4,Connecticut,CT,traditional,all-transactions,68.1,
1976-Q4,Delaware,DE,traditional,all-transactions,86.66,
1976-Q4,District of Columbia,DC,traditional,all-transactions,57.94,
1976-Q4,Florida,FL,traditional,all-transactions,70.24,
1976-Q4,Georgia,GA,traditional,all-transactions,78.36,
1976-Q4,Hawaii,HI,traditional,all-transactions,62.74,
1976-Q4,Idaho,ID,traditional,all-transactions,74.68,
1976-Q4,Illinois,IL,traditional,all-transactions,73.21,
1976-Q4,Indiana,IN,traditional,all-transactions,68.67,
1976-Q4,Iowa,IA,traditional,all-transactions,72.3,
1976-Q4,Kansas,KS,traditional,all-transactions,70.6,
1976-Q4,Kentucky,KY,traditional,all-transactions,68.88,
1976-Q4,Louisiana,LA,traditional,all-transactions,61.85,
1976-Q4,Maine,ME,traditional,all-transactions,69.27,
1976-Q4,Maryland,MD,traditional,all-transactions,71.59,
1976-Q4,Massachusetts,MA,traditional,all-transactions,69.71,
1976-Q4,Michigan,MI,traditional,all-transactions,65.72,
1976-Q4,Minnesota,MN,traditional,all-transactions,64.56,
1976-Q4,Mississippi,MS,traditional,all-transactions,77.67,
1976-Q4,Missouri,MO,traditional,all-transactions,69.38,
1976-Q4,Montana,MT,traditional,all-transactions,62.19,
1976-Q4,Nebraska,NE,traditional,all-transactions,70.26,
1976-Q4,Nevada,NV,traditional,all-transactions,62.13,
1976-Q4,New Hampshire,NH,traditional,all-transactions,71.47,
1976-Q4,New Jersey,NJ,traditional,all-transactions,62.32,
1976-Q4,New Mexico,NM,traditional,all-transactions,65.62,
1976-Q4,New York,NY,traditional,all-transactions,73.68,
1976-Q4,North Carolina,NC,traditional,all-transactions,70.9,
1976-Q4,North Dakota,ND,traditional,all-transactions,73.72,
1976-Q4,Ohio,OH,traditional,all-transactions,72.29,
1976-Q4,Oklahoma,OK,traditional,all-transactions,62.56,
1976-Q4,Oregon,OR,traditional,all-transactions,63.91,
1976-Q4,Pennsylvania,PA,traditional,all-transactions,75.44,
1976-Q4,Rhode Island,RI,traditional,all-transactions,70.19,
1976-Q4,South Carolina,SC,traditional,all-transactions,76.06,
1976-Q4,South Dakota,SD,traditional,all-transactions,68.51,
1976-Q4,Tennessee,TN,traditional,all-transactions,71.43,
1976-Q4,Texas,TX,traditional,all-transactions,63.09,
1976-Q4,Utah,UT,traditional,all-transactions,64.31,
1976-Q4,Vermont,VT,traditional,all-transactions,79.71,
1976-Q4,Virginia,VA,traditional,all-transactions,72.13,
1976-Q4,Washington,WA,traditional,all-transactions,57.77,
1976-Q4,West Virginia,WV,traditional,all-transactions,63.86,
1976-Q4,Wisconsin,WI,traditional,all-transactions,68.73,
1976-Q4,Wyoming,WY,traditional,all-transactions,63.66,
1977-Q1,Alabama,AL,traditional,all-transactions,81.19,
1977-Q1,Alaska,AK,traditional,all-transactions,78.09,
1977-Q1,Arizona,AZ,traditional,all-transactions,63.47,
1977-Q1,Arkansas,AR,traditional,all-transactions,72.49,
1977-Q1,California,CA,traditional,all-transactions,58.05,
1977-Q1,Colorado,CO,traditional,all-transactions,64.83,
1977-Q1,Connecticut,CT,traditional,all-transactions,64.03,
1977-Q1,Delaware,DE,traditional,all-transactions,89.76,
1977-Q1,District of Columbia,DC,traditional,all-transactions,59.27,
1977-Q1,Florida,FL,traditional,all-transactions,70.93,
1977-Q1,Georgia,GA,traditional,all-transactions,75.98,
1977-Q1,Hawaii,HI,traditional,all-transactions,55.94,
1977-Q1,Idaho,ID,traditional,all-transactions,78.2,
1977-Q1,Illinois,IL,traditional,all-transactions,80.5,
1977-Q1,Indiana,IN,traditional,all-transactions,71.65,
1977-Q1,Iowa,IA,traditional,all-transactions,77.05,
1977-Q1,Kansas,KS,traditional,all-transactions,72.84,
1977-Q1,Kentucky,KY,traditional,all-transactions,69.1,
1977-Q1,Louisiana,LA,traditional,all-transactions,63.06,
1977-Q1,Maine,ME,traditional,all-transactions,73.29,
1977-Q1,Maryland,MD,traditional,all-transactions,72.13,
1977-Q1,Massachusetts,MA,traditional,all-transactions,72.39,
1977-Q1,Michigan,MI,traditional,all-transactions,67.55,
1977-Q1,Minnesota,MN,traditional,all-transactions,66.58,
1977-Q1,Mississippi,MS,traditional,all-transactions,74.96,
1977-Q1,Missouri,MO,traditional,all-transactions,71.46,
1977-Q1,Montana,MT,traditional,all-transactions,63.18,
1977-Q1,Nebraska,NE,traditional,all-transactions,72.42,
1977-Q1,Nevada,NV,traditional,all-transactions,62.07,
1977-Q1,New Hampshire,NH,traditional,all-transactions,70.11,
1977-Q1,New Jersey,NJ,traditional,all-transactions,65.1,
1977-Q1,New Mexico,NM,traditional,all-transactions,69.96,
1977-Q1,New York,NY,traditional,all-transactions,77.81,
1977-Q1,North Carolina,NC,traditional,all-transactions,76.01,
1977-Q1,North Dakota,ND,traditional,all-transactions,81.6,
1977-Q1,Ohio,OH,traditional,all-transactions,73.08,
1977-Q1,Oklahoma,OK,traditional,all-transactions,63.83,
1977-Q1,Oregon,OR,traditional,all-transactions,67.29,
1977-Q1,Pennsylvania,PA,traditional,all-transactions,75.53,
1977-Q1,Rhode Island,RI,traditional,all-transactions,69.91,
1977-Q1,South Carolina,SC,traditional,all-transactions,75.66,
1977-Q1,South Dakota,SD,traditional,all-transactions,62.71,
1977-Q1,Tennessee,TN,traditional,all-transactions,74.52,
1977-Q1,Texas,TX,traditional,all-transactions,66.05,
1977-Q1,Utah,UT,traditional,all-transactions,69.98,
1977-Q1,Vermont,VT,traditional,all-transactions,103.72,
1977-Q1,Virginia,VA,traditional,all-transactions,73.07,
1977-Q1,Washington,WA,traditional,all-transactions,59.66,
1977-Q1,West Virginia,WV,traditional,all-transactions,69.84,
